county_name,total_county_population,median_household_income,aggregate_household_income,per_capita_income,median_family_income,poverty_status_total_population,income_below_poverty_level,poverty_white_alone_total,poverty_white_alone_below_poverty,poverty_black_alone_total,poverty_black_alone_below_poverty,poverty_hispanic_total,poverty_hispanic_below_poverty,poverty_ratio_total,poverty_ratio_under_50_pct,poverty_ratio_50_99_pct,poverty_children_under_18_total,poverty_children_under_18_below_poverty,snap_total_households,snap_received_past_12mo,public_assistance_total_households,public_assistance_received,ssi_total_households,ssi_received,health_insurance_total,health_insurance_no_coverage,medicaid_means_tested_total,medicaid_means_tested_coverage,education_total_25_plus,education_high_school_diploma,education_bachelors_degree,education_masters_degree,employment_pop_16_plus,employment_civilian_labor_force,employment_employed,employment_unemployed,disability_total_pop,disability_male_under_5_with_disability,disability_male_5_17_with_disability,disability_male_18_34_with_disability,disability_male_35_64_with_disability,disability_male_65_74_with_disability,disability_male_75_plus_with_disability,disability_female_under_5_with_disability,disability_female_5_17_with_disability,disability_female_18_34_with_disability,disability_female_35_64_with_disability,disability_female_65_74_with_disability,disability_female_75_plus_with_disability,rent_burden_total_renters,rent_burden_50_plus_pct,median_gross_rent,families_with_children_total,families_female_householder_with_children,total_population,white_alone,black_alone,asian_alone,total_population_ethnicity,hispanic_or_latino,total_households,average_household_size,total_households_composition,family_households,married_couple_family,householder_living_alone,total_population_gender,male_population,female_population,median_age,median_home_value,language_total_5_plus,language_speak_only_english,english_proficiency_total_5_plus,english_speak_not_well,nativity_total,foreign_born,vehicles_total_households,vehicles_none,mean_travel_time_to_work,veteran_total_18_plus,veteran_population,state_fips,county_fips,white_pct,black_pct,asian_pct,hispanic_pct,male_pct,female_pct,family_household_pct,snap_participation_rate,public_assistance_rate,ssi_rate,poverty_rate,uninsured_rate,medicaid_rate,child_poverty_rate,white_poverty_rate,black_poverty_rate,hispanic_poverty_rate,deep_poverty_rate,near_poverty_rate,hs_graduate_rate,bachelors_plus_rate,labor_force_participation_rate,unemployment_rate,employment_rate,disability_rate,rent_burden_severe_50_plus,single_parent_rate,veteran_rate,english_only_rate,limited_english_rate,foreign_born_rate,no_vehicle_rate,data_pulled_date,acs_year
"Autauga County, Alabama",58761,68315,2016029200,35332,83790,58291,6630,43430,4089,11358,1947,1862,266,58291,3116,3514,13625,1806,22308,2014,22308,218,22308,1372,57443,20,57443,2522,40188,10001,6726,4014,47146,27163,26411,752,57443,0,494,561,1876,805,1023,11,268,519,1784,742,1342,5476,892,1199,12051,1756,58761,43747,11496,658,58761,1864,22308,2.61,22308,15363,11889,6069,58761,28663,30098,39.0,191800,,,22308,3,58761,1552,22308,326,692810.0,44052,5097,01,001,74.45,19.56,1.12,3.17,48.78,51.22,68.87,9.03,0.98,6.15,11.37,0.03,4.39,13.26,9.42,17.14,14.29,5.35,6.03,24.89,26.72,57.61,2.77,56.02,16.41,16.29,14.57,11.57,,0.01,2.64,1.46,2025-11-24 04:14:22,2022
"Baldwin County, Alabama",233420,71039,8719426400,38907,89953,229539,23445,193550,15665,18560,4549,10777,2973,229539,9347,14098,48406,6181,90802,6633,90802,911,90802,4020,230074,441,230074,9356,167022,38059,33474,15077,189569,111079,107254,3825,230074,0,1026,1862,5138,3863,3665,27,837,1682,5749,3320,4709,20094,4227,1160,41903,6086,233420,195998,19445,2046,233420,11210,90802,2.53,90802,61277,51019,25747,233420,114077,119343,43.7,266000,,,90802,581,233420,8106,90802,1121,,183337,20740,01,003,83.97,8.33,0.88,4.8,48.87,51.13,67.48,7.3,1.0,4.43,10.21,0.19,4.07,12.77,8.09,24.51,27.59,4.07,6.14,22.79,29.07,58.6,3.44,56.58,13.86,21.04,14.52,11.31,,0.64,3.47,1.23,2025-11-24 04:14:22,2022
"Barbour County, Alabama",24877,39712,542109600,23378,55672,21851,5280,9998,1115,10134,3371,1114,693,21851,2879,2401,5091,1863,9016,2142,9016,128,9016,837,21892,6,21892,1826,17675,5136,1167,640,20399,8968,8452,516,21892,0,195,318,519,364,424,0,159,154,685,432,720,3158,456,627,4181,1981,24877,11309,11668,126,24877,1202,9016,2.43,9016,5722,3431,3101,24877,12973,11904,40.6,102700,,,9016,196,24877,776,9016,239,,19726,1303,01,005,45.46,46.9,0.51,4.83,52.15,47.85,63.46,23.76,1.42,9.28,24.16,0.03,8.34,36.59,11.15,33.26,62.21,13.18,10.99,29.06,10.22,43.96,5.75,41.43,18.13,14.44,47.38,6.61,,2.17,3.12,2.65,2025-11-24 04:14:22,2022
"Bibb County, Alabama",22251,50669,469986000,24966,70064,20836,4297,16233,2604,3856,1615,637,208,20836,2667,1630,4655,1659,7216,1449,7216,228,7216,524,20850,0,20850,1234,15925,5261,1047,507,18046,9028,8242,786,20850,0,272,439,1248,162,299,5,74,159,621,290,528,1751,381,765,3425,499,22251,16872,4603,69,22251,650,7216,2.89,7216,4871,3617,2167,22251,11897,10354,40.3,120100,,,7216,12,22251,244,7216,216,237180.0,17536,1362,01,007,75.83,20.69,0.31,2.92,53.47,46.53,67.5,20.08,3.16,7.26,20.62,0.0,5.92,35.64,16.04,41.88,32.65,12.8,7.82,33.04,9.76,50.03,8.71,45.67,19.65,21.76,14.57,7.77,,0.17,1.1,2.99,2025-11-24 04:14:22,2022
"Blount County, Alabama",59077,57440,1642575700,29053,73528,58399,8277,53419,7056,608,89,5698,1871,58399,3078,5199,13211,2189,21626,2334,21626,444,21626,1852,58587,100,58587,3031,40817,11248,3840,1751,47261,26434,24856,1578,58587,6,311,448,2299,849,979,25,234,467,2303,697,1330,4482,800,734,11042,2185,59077,53941,729,100,59077,5721,21626,2.7,21626,15416,12066,5495,59077,29864,29213,40.8,159800,,,21626,340,59077,2843,21626,362,816105.0,45488,3040,01,009,91.31,1.23,0.17,9.68,50.55,49.45,71.28,10.79,2.05,8.56,14.17,0.17,5.17,16.57,13.21,14.64,32.84,5.27,8.9,27.56,13.7,55.93,5.97,52.59,16.98,17.85,19.79,6.68,,1.57,4.81,1.67,2025-11-24 04:14:22,2022
"Bullock County, Alabama",10328,36136,180327600,22115,43750,9616,2687,2192,331,6643,2168,880,348,9616,1168,1519,2149,979,3450,969,3450,6,3450,342,9640,20,9640,1149,7156,2515,492,93,8376,3888,3744,144,9640,28,7,94,412,66,130,0,0,10,151,74,106,1219,302,619,1719,991,10328,2397,7117,43,10328,907,3450,2.78,3450,2248,1184,1095,10328,5542,4786,39.2,87700,,,3450,32,10328,389,3450,179,,8153,380,01,011,23.21,68.91,0.42,8.78,53.66,46.34,65.16,28.09,0.17,9.91,27.94,0.21,11.92,45.56,15.1,32.64,39.55,12.15,15.8,35.15,8.17,46.42,3.7,44.7,11.18,24.77,57.65,4.66,,0.93,3.77,5.19,2025-11-24 04:14:22,2022
"Butler County, Alabama",18981,44429,470560400,26334,59217,18652,3937,9520,1020,8397,2754,322,85,18652,1391,2546,4196,1356,7131,1096,7131,102,7131,719,18686,0,18686,1093,13266,5521,1029,542,15203,8043,7495,548,18686,0,109,169,654,220,293,0,47,173,512,309,534,2084,472,720,3225,1197,18981,9777,8462,243,18981,322,7131,2.61,7131,4620,3241,2263,18981,8928,10053,41.6,94800,,,7131,24,18981,322,7131,144,,14743,1034,01,013,51.51,44.58,1.28,1.7,47.04,52.96,64.79,15.37,1.43,10.08,21.11,0.0,5.85,32.32,10.71,32.8,26.4,7.46,13.65,41.62,11.84,52.9,6.81,49.3,16.16,22.65,37.12,7.01,,0.34,1.7,2.02,2025-11-24 04:14:22,2022
"Calhoun County, Alabama",116162,54339,3093341500,28227,68959,112350,20267,80888,11675,24522,6395,4576,1811,112350,9669,10598,23760,5403,44693,7908,44693,977,44693,3581,114576,79,114576,7109,78931,21599,9098,4121,94627,53147,49455,3692,114576,58,877,1348,4706,2398,1586,1,455,1175,5615,2236,2668,12999,2783,806,19915,6012,116162,83306,25631,765,116162,4736,44693,2.52,44693,28213,19177,14103,116162,56185,59977,39.2,140500,,,44693,402,116162,2698,44693,786,,91189,8128,01,015,71.72,22.06,0.66,4.08,48.37,51.63,63.13,17.69,2.19,8.01,18.04,0.07,6.2,22.74,14.43,26.08,39.58,8.61,9.43,27.36,16.75,56.16,6.95,52.26,20.18,21.41,30.19,8.91,,0.9,2.32,1.76,2025-11-24 04:14:22,2022
"Chambers County, Alabama",34612,48805,846109100,27006,60000,34008,6080,19356,3040,13828,2976,1107,433,34008,2205,3875,7123,2165,13143,2205,13143,130,13143,1238,34130,50,34130,2275,24706,7991,2273,737,28036,15631,15072,559,34130,0,61,147,1491,787,605,23,152,302,1752,883,910,3657,533,842,5773,1939,34612,19642,14114,60,34612,1129,13143,2.58,13143,8880,5775,3691,34612,16485,18127,42.2,116900,,,13143,67,34612,508,13143,350,,27361,1977,01,017,56.75,40.78,0.17,3.26,47.63,52.37,67.56,16.78,0.99,9.42,17.88,0.15,6.67,30.39,15.71,21.52,39.11,6.48,11.39,32.34,12.18,55.75,3.58,53.76,20.84,14.57,33.59,7.23,,0.51,1.47,2.66,2025-11-24 04:14:22,2022
"Cherokee County, Alabama",25069,46621,656446100,28422,63429,24658,3516,22626,3035,923,103,475,197,24658,1138,2378,4580,822,9997,1130,9997,161,9997,617,24779,3,24779,990,18523,5386,1530,832,20956,10713,10288,425,24779,0,203,299,966,449,467,0,168,174,1149,443,708,2025,96,700,3821,601,25069,22884,1008,27,25069,479,9997,2.48,9997,6609,5257,3061,25069,12261,12808,46.8,158700,,,9997,148,25069,493,9997,143,,20343,1416,01,019,91.28,4.02,0.11,1.91,48.91,51.09,66.11,11.3,1.61,6.17,14.26,0.01,4.0,17.95,13.41,11.16,41.47,4.62,9.64,29.08,12.75,51.12,3.97,49.09,20.28,4.74,15.73,6.96,,1.48,1.97,1.43,2025-11-24 04:14:22,2022
"Chilton County, Alabama",45140,62471,1246974500,28497,72090,44441,6422,36198,4494,4202,1069,3526,791,44441,2523,3899,10350,1688,16931,2198,16931,364,16931,1232,44781,0,44781,2765,30609,10769,2504,1551,35294,19921,18865,1056,44781,21,493,308,1920,910,761,8,97,424,1969,728,1043,4231,475,814,9044,1680,45140,36693,4257,229,45140,3664,16931,2.64,16931,12257,9062,4036,45140,22048,23092,39.9,136000,,,16931,302,45140,1839,16931,230,548595.0,34435,1799,01,021,81.29,9.43,0.51,8.12,48.84,51.16,72.39,12.98,2.15,7.28,14.45,0.0,6.17,16.31,12.42,25.44,22.43,5.68,8.77,35.18,13.25,56.44,5.3,53.45,19.39,11.23,18.58,5.22,,1.78,4.07,1.36,2025-11-24 04:14:22,2022
"Choctaw County, Alabama",12669,43299,322487400,26343,64349,12475,2388,7081,876,4969,1417,138,18,12475,1099,1289,2503,770,5228,956,5228,113,5228,471,12543,0,12543,722,9052,2989,873,283,10532,4781,4532,249,12543,0,50,161,674,214,315,0,26,87,625,281,522,942,170,616,1891,565,12669,7180,5062,15,12669,143,5228,2.39,5228,3246,2333,1861,12669,5980,6689,46.7,101600,,,5228,0,12669,56,5228,250,151930.0,10143,645,01,023,56.67,39.96,0.12,1.13,47.2,52.8,62.09,18.29,2.16,9.01,19.14,0.0,5.76,30.76,12.37,28.52,13.04,8.81,10.33,33.02,12.77,45.39,5.21,43.03,23.56,18.05,29.88,6.36,,0.0,0.44,4.78,2025-11-24 04:14:22,2022
"Clarke County, Alabama",23058,47549,584728700,29310,64688,22687,5073,11605,1492,10389,3397,330,24,22687,2188,2885,4974,1501,8188,1740,8188,94,8188,918,22750,6,22750,1620,16015,5860,1346,705,18614,8957,7841,1116,22750,0,240,272,665,422,496,0,100,333,1010,279,637,2272,310,723,3801,1111,23058,11862,10490,90,23058,335,8188,2.77,8188,5181,3442,2879,23058,11032,12026,42.7,126200,,,8188,0,23058,182,8188,327,,17973,1225,01,025,51.44,45.49,0.39,1.45,47.84,52.16,63.28,21.25,1.15,11.21,22.36,0.03,7.12,30.18,12.86,32.7,7.27,9.64,12.72,36.59,12.81,48.12,12.46,42.12,19.58,13.64,29.23,6.82,,0.0,0.79,3.99,2025-11-24 04:14:22,2022
"Clay County, Alabama",14209,48074,381475300,27991,60216,13887,2440,11310,1436,1745,651,437,73,13887,996,1444,2845,669,5485,748,5485,239,5485,342,13919,0,13919,872,10053,3161,926,279,11636,5480,5165,315,13919,0,145,55,752,176,320,0,0,207,471,315,281,1188,119,576,2657,538,14209,11581,1790,36,14209,437,5485,2.54,5485,3934,3169,1430,14209,6931,7278,43.9,144100,,,5485,12,14209,92,5485,106,,11266,711,01,027,81.5,12.6,0.25,3.08,48.78,51.22,71.72,13.64,4.36,6.24,17.57,0.0,6.26,23.51,12.7,37.31,16.7,7.17,10.4,31.44,11.99,47.1,5.75,44.39,19.56,10.02,20.25,6.31,,0.22,0.65,1.93,2025-11-24 04:14:22,2022
"Cleburne County, Alabama",15144,51553,412744000,28598,71833,14978,1931,13941,1660,336,21,401,115,14978,753,1178,3435,661,5761,821,5761,99,5761,350,14989,8,14989,1001,10630,3316,1172,476,12103,5844,5692,152,14989,30,54,197,697,347,313,14,63,266,608,298,324,1265,93,782,2815,454,15144,14028,411,15,15144,401,5761,2.6,5761,3834,2986,1761,15144,7565,7579,42.2,131900,,,5761,19,15144,211,5761,273,,11698,890,01,029,92.63,2.71,0.1,2.65,49.95,50.05,66.55,14.25,1.72,6.08,12.89,0.05,6.68,19.24,11.91,6.25,28.68,5.03,7.86,31.19,15.5,48.29,2.6,47.03,21.42,7.35,16.13,7.61,,0.33,1.39,4.74,2025-11-24 04:14:22,2022
"Coffee County, Alabama",53559,62199,1598035800,31227,76211,52713,8592,38161,4191,8852,3011,4483,1619,52713,4183,4409,12402,3033,20363,2455,20363,258,20363,1148,51466,81,51466,2785,36556,8599,4786,2424,42478,22899,21804,1095,51466,0,440,493,1920,1105,747,7,297,515,2064,774,1076,6218,1129,921,11185,2998,53559,38834,8997,563,53559,4500,20363,2.6,20363,13698,9828,5867,53559,26626,26933,39.2,162200,,,20363,251,53559,2110,20363,343,,39387,6183,01,031,72.51,16.8,1.05,8.4,49.71,50.29,67.27,12.06,1.27,5.64,16.3,0.16,5.41,24.46,10.98,34.01,36.11,7.94,8.36,23.52,19.72,53.91,4.78,51.33,18.34,18.16,26.8,15.7,,1.23,3.94,1.68,2025-11-24 04:14:22,2022
"Colbert County, Alabama",57270,56149,1662581200,30724,69400,56667,8998,44195,5091,9135,2795,1837,704,56667,4375,4623,11795,3124,23266,3568,23266,149,23266,1608,56784,17,56784,2878,40835,12633,4578,1821,46692,26492,25589,903,56784,0,181,847,2062,1170,940,37,236,317,1682,976,1402,6746,1142,810,10834,3449,57270,44698,9185,214,57270,1837,23266,2.44,23266,14999,11064,6848,57270,27911,29359,42.0,148500,,,23266,219,57270,988,23266,340,,45239,3227,01,033,78.05,16.04,0.37,3.21,48.74,51.26,64.47,15.34,0.64,6.91,15.88,0.03,5.07,26.49,11.52,30.6,38.32,7.72,8.16,30.94,15.67,56.74,3.41,54.8,17.35,16.93,31.83,7.13,,0.94,1.73,1.46,2025-11-24 04:14:22,2022
"Conecuh County, Alabama",11576,39888,250390800,24426,55380,11514,2122,5730,571,5578,1511,80,58,11514,1159,963,2364,808,4453,664,4453,148,4453,541,11518,0,11518,708,8382,3660,642,316,9568,3928,3757,171,11518,0,35,84,496,213,226,0,2,89,542,370,354,1127,183,718,1942,625,11576,5751,5611,36,11576,80,4453,2.59,4453,2601,1713,1785,11576,5639,5937,46.2,98800,,,4453,17,11576,96,4453,100,100475.0,9208,478,01,035,49.68,48.47,0.31,0.69,48.71,51.29,58.41,14.91,3.32,12.15,18.43,0.0,6.15,34.18,9.97,27.09,72.5,10.07,8.36,43.66,11.43,41.05,4.35,39.27,20.93,16.24,32.18,5.19,,0.38,0.83,2.25,2025-11-24 04:14:22,2022
"Coosa County, Alabama",10329,52279,279171800,28998,64482,9969,1102,6713,409,2923,688,284,0,9969,449,653,1658,407,3999,460,3999,23,3999,315,9919,11,9919,624,8049,2713,578,195,8825,4046,3868,178,9919,0,154,190,384,266,259,0,39,37,648,237,323,750,28,632,1303,439,10329,6859,3120,0,10329,284,3999,2.49,3999,2761,1980,1102,10329,5306,5023,50.2,109500,,,3999,0,10329,47,3999,81,,8621,690,01,037,66.41,30.21,0.0,2.75,51.37,48.63,69.04,11.5,0.58,7.88,11.05,0.11,6.29,24.55,6.09,23.54,0.0,4.5,6.55,33.71,9.6,45.85,4.4,43.83,25.58,3.73,33.69,8.0,,0.0,0.46,2.03,2025-11-24 04:14:22,2022
"Covington County, Alabama",37542,48772,989377300,28528,66211,36847,6921,31000,5333,4348,1360,737,214,36847,3033,3888,7978,2124,14194,1885,14194,153,14194,609,37040,161,37040,2086,26447,8043,2585,1280,30145,15967,15090,877,37040,30,247,451,1561,879,777,9,93,264,1558,749,1072,3552,756,701,6622,1773,37542,31404,4606,218,37542,749,14194,2.59,14194,9237,6679,4450,37542,18243,19299,42.9,124300,,,14194,0,37542,433,14194,266,,29281,2514,01,039,83.65,12.27,0.58,2.0,48.59,51.41,65.08,13.28,1.08,4.29,18.78,0.43,5.63,26.62,17.2,31.28,29.04,8.23,10.55,30.41,14.61,52.97,5.49,50.06,20.76,21.28,26.77,8.59,,0.0,1.15,1.87,2025-11-24 04:14:22,2022
"Crenshaw County, Alabama",13205,48557,380446300,32396,69602,12895,1916,9102,935,3039,740,335,48,12895,839,1077,2940,532,4839,824,4839,115,4839,537,12929,43,12929,686,9148,3459,1092,405,10556,5464,5132,332,12929,0,70,232,515,225,119,0,46,71,466,187,253,1230,239,595,2353,490,13205,9386,3059,154,13205,335,4839,2.68,4839,3012,2129,1645,13205,6451,6754,42.3,100400,,,4839,87,13205,343,4839,148,142440.0,10157,519,01,041,71.08,23.17,1.17,2.54,48.85,51.15,62.24,17.03,2.38,11.1,14.86,0.33,5.31,18.1,10.27,24.35,14.33,6.51,8.35,37.81,16.36,51.76,6.08,48.62,16.89,19.43,20.82,5.11,,1.8,2.6,3.06,2025-11-24 04:14:22,2022
"Cullman County, Alabama",88284,58119,2553058400,29788,72331,87201,11364,80195,9830,791,148,4034,942,87201,5477,5887,19502,3121,33649,3362,33649,373,33649,1849,87442,145,87442,5087,61520,15417,7463,3105,70954,41229,39440,1789,87442,23,597,833,3396,1611,1241,0,410,939,3566,1632,1626,8009,1321,848,16951,2721,88284,81077,960,278,88284,4056,33649,2.59,33649,23598,18371,8496,88284,43820,44464,41.4,166000,,,33649,225,88284,2047,33649,415,985110.0,68610,4734,01,043,91.84,1.09,0.31,4.59,49.64,50.36,70.13,9.99,1.11,5.49,13.03,0.17,5.82,16.0,12.26,18.71,23.35,6.28,6.75,25.06,17.18,58.11,4.34,55.59,18.15,16.49,16.05,6.9,,0.67,2.32,1.23,2025-11-24 04:14:22,2022
"Dale County, Alabama",49455,52813,1308174900,28312,67776,48342,8469,34236,5157,10192,2640,3350,605,48342,4520,3949,11152,3240,19400,3426,19400,356,19400,2035,46837,54,46837,2980,33687,8152,4360,1654,39197,19642,18115,1527,46837,4,373,542,1953,948,820,0,193,650,2408,954,918,7731,1220,829,10339,3525,49455,34817,10416,611,49455,3467,19400,2.5,19400,12251,8522,6267,49455,24461,24994,37.7,123800,,,19400,108,49455,1664,19400,456,437705.0,35824,5199,01,045,70.4,21.06,1.24,7.01,49.46,50.54,63.15,17.66,1.84,10.49,17.52,0.12,6.36,29.05,15.06,25.9,18.06,9.35,8.17,24.2,17.85,50.11,7.77,46.22,20.84,15.78,34.09,14.51,,0.56,3.36,2.35,2025-11-24 04:14:22,2022
"Dallas County, Alabama",38326,37180,785044600,22798,52453,37774,10230,10345,1184,26242,8306,425,10,37774,3791,6439,8806,3883,14753,4422,14753,1030,14753,2280,38031,0,38031,3374,25984,9086,2633,1239,30351,15804,14359,1445,38031,0,302,381,1392,678,793,0,123,356,1576,905,1016,5693,1513,726,6308,3550,38326,10634,26467,240,38326,430,14753,2.56,14753,8477,4581,5936,38326,17895,20431,40.4,91600,,,14753,29,38326,465,14753,730,,29288,1840,01,047,27.75,69.06,0.63,1.12,46.69,53.31,57.46,29.97,6.98,15.45,27.08,0.0,8.87,44.09,11.45,31.65,2.35,10.04,17.05,34.97,14.9,52.07,9.14,47.31,19.78,26.58,56.28,6.28,,0.2,1.21,4.95,2025-11-24 04:14:22,2022
"DeKalb County, Alabama",71680,47920,1658169300,24915,59225,70473,14251,58152,9591,943,272,10862,4959,70473,4826,9425,16650,5076,25690,4243,25690,272,25690,1559,70836,191,70836,5388,48385,12391,3996,2248,56883,32085,30827,1258,70836,0,426,548,2491,934,878,75,229,616,2216,978,1488,6716,1275,684,14733,2530,71680,59102,1043,72,71680,11021,25690,2.75,25690,18137,14339,6833,71680,35847,35833,39.6,129000,,,25690,673,71680,5277,25690,438,735580.0,54495,3209,01,049,82.45,1.46,0.1,15.38,50.01,49.99,70.6,16.52,1.06,6.07,20.22,0.27,7.61,30.49,16.49,28.84,45.65,6.85,13.37,25.61,12.9,56.41,3.92,54.19,15.36,18.98,17.17,5.89,,2.62,7.36,1.7,2025-11-24 04:14:22,2022
"Elmore County, Alabama",87694,73258,2913415800,34152,84463,83185,7986,63012,4744,15677,2730,2651,426,83185,3298,4688,18739,2418,32184,3403,32184,610,32184,1499,82845,54,82845,4004,61046,16903,9637,3846,70825,40950,39250,1700,82845,5,739,621,2820,1441,873,49,183,742,2519,1106,1521,7372,1311,982,16529,3525,87694,64769,18276,602,87694,2739,32184,2.59,32184,23733,17276,7732,87694,42743,44951,38.9,200400,,,32184,185,87694,1808,32184,758,991955.0,68069,6179,01,051,73.86,20.84,0.69,3.12,48.74,51.26,73.74,10.57,1.9,4.66,9.6,0.07,4.83,12.9,7.53,17.41,16.07,3.96,5.64,27.69,22.09,57.82,4.15,55.42,15.23,17.78,21.33,9.08,,0.57,2.06,2.36,2025-11-24 04:14:22,2022
"Escambia County, Alabama",36755,41153,723266000,21758,57329,34154,7449,21708,3340,9678,3642,860,131,34154,3351,4098,8237,2268,13022,1793,13022,174,13022,950,34273,64,34273,2077,25461,9513,2168,832,29357,14277,12964,1313,34273,13,151,533,1808,597,372,0,79,162,1454,621,1175,4278,702,659,6555,2097,36755,22762,11138,90,36755,940,13022,2.63,13022,7845,5490,4775,36755,18476,18279,40.5,122000,,,13022,57,36755,269,13022,314,273240.0,28420,2145,01,053,61.93,30.3,0.24,2.56,50.27,49.73,60.24,13.77,1.34,7.3,21.81,0.19,6.06,27.53,15.39,37.63,15.23,9.81,12.0,37.36,11.78,48.63,9.2,44.16,20.32,16.41,31.99,7.55,,0.44,0.73,2.41,2025-11-24 04:14:22,2022
"Etowah County, Alabama",103348,52177,2703447300,28479,67242,101767,16146,79581,10350,15207,3811,4539,1565,101767,6110,10036,21455,4876,38791,5520,38791,804,38791,2864,102350,64,102350,5491,72715,18921,7840,3418,83569,47355,44508,2847,102350,18,765,718,4151,1854,1495,0,489,657,3938,1588,2113,10337,2182,779,18208,5209,103348,80555,15724,748,103348,4561,38791,2.63,38791,25321,18116,11749,103348,50134,53214,41.9,148400,,,38791,183,103348,2456,38791,563,,81165,5512,01,055,77.95,15.21,0.72,4.41,48.51,51.49,65.28,14.23,2.07,7.38,15.87,0.06,5.36,22.73,13.01,25.06,34.48,6.0,9.86,26.02,15.48,56.67,6.01,53.26,17.38,21.11,28.61,6.79,,0.47,2.38,1.45,2025-11-24 04:14:22,2022
"Fayette County, Alabama",16297,45650,409622000,27053,62336,15973,3543,13524,2714,2016,757,49,0,15973,1539,2004,3340,1143,6143,1204,6143,134,6143,494,16096,22,16096,1069,11428,3425,943,284,13382,6968,6296,672,16096,0,111,164,694,398,282,0,177,75,882,419,580,1484,309,600,2667,605,16297,13727,2074,36,16297,61,6143,2.6,6143,4161,3243,1839,16297,7997,8300,43.7,112700,,,6143,0,16297,121,6143,253,,12857,783,01,057,84.23,12.73,0.22,0.37,49.07,50.93,67.74,19.6,2.18,8.04,22.18,0.14,6.64,34.22,20.07,37.55,0.0,9.64,12.55,29.97,10.74,52.07,9.64,47.05,23.5,20.82,22.68,6.09,,0.0,0.74,4.12,2025-11-24 04:14:22,2022
"Franklin County, Alabama",32011,47359,716449200,24874,61857,31558,5246,24505,3559,1301,140,5847,1337,31558,1967,3279,7697,2093,11239,2206,11239,149,11239,747,31750,126,31750,2182,21351,7551,2204,777,24985,14005,13469,536,31750,0,219,268,1187,461,464,0,91,257,1105,728,620,3008,384,596,6457,1969,32011,24853,1360,35,32011,5892,11239,2.82,11239,7417,5494,3424,32011,16071,15940,39.3,121600,,,11239,438,32011,2770,11239,584,,24091,1184,01,059,77.64,4.25,0.11,18.41,50.2,49.8,65.99,19.63,1.33,6.65,16.62,0.4,6.87,27.19,14.52,10.76,22.87,6.23,10.39,35.37,13.96,56.05,3.83,53.91,17.01,12.77,30.49,4.91,,3.9,8.65,5.2,2025-11-24 04:14:22,2022
"Geneva County, Alabama",26647,47608,659733000,25644,60345,26306,5480,22092,3815,2399,831,1185,591,26306,1340,4140,5752,1666,10391,1680,10391,78,10391,972,26330,25,26330,1756,18982,5579,1842,743,21423,11327,10890,437,26330,0,327,558,1227,466,556,0,69,173,1581,584,752,2521,549,696,4962,960,26647,22360,2472,143,26647,1185,10391,2.54,10391,6912,5335,2997,26647,13037,13610,43.6,120700,,,10391,46,26647,468,10391,167,272410.0,20758,2075,01,061,83.91,9.28,0.54,4.45,48.92,51.08,66.52,16.17,0.75,9.35,20.83,0.09,6.67,28.96,17.27,34.64,49.87,5.09,15.74,29.39,13.62,52.87,3.86,50.83,23.9,21.78,19.35,10.0,,0.44,1.76,1.61,2025-11-24 04:14:22,2022
"Greene County, Alabama",7706,32796,138128300,20862,53019,7612,2504,1279,163,6265,2331,24,17,7612,878,1626,1664,760,2872,738,2872,31,2872,382,7629,5,7629,729,5449,1808,579,242,6121,2466,2355,111,7629,0,105,123,348,177,184,0,0,401,281,229,301,760,100,682,1123,648,7706,1333,6305,0,7706,24,2872,2.64,2872,1489,872,1373,7706,3707,3999,41.1,88800,,,2872,5,7706,103,2872,159,,6010,491,01,063,17.3,81.82,0.0,0.31,48.11,51.89,51.85,25.7,1.08,13.3,32.9,0.07,9.56,45.67,12.74,37.21,70.83,11.53,21.36,33.18,15.07,40.29,4.5,38.47,28.17,13.16,57.7,8.17,,0.17,1.34,5.54,2025-11-24 04:14:22,2022
"Hale County, Alabama",14742,35851,319057800,23690,64661,14448,3613,5480,590,8262,2679,25,0,14448,1343,2270,3338,1214,5403,1355,5403,196,5403,674,14513,6,14513,1083,9980,3275,1079,411,11591,5883,5433,450,14513,0,86,417,640,450,182,0,344,219,651,224,411,1216,225,668,1806,432,14742,5663,8373,9,14742,25,5403,2.69,5403,3158,2128,2000,14742,7020,7722,40.5,109400,,,5403,0,14742,92,5403,319,,11269,868,01,065,38.41,56.8,0.06,0.17,47.62,52.38,58.45,25.08,3.63,12.47,25.01,0.04,7.46,36.37,10.77,32.43,0.0,9.3,15.71,32.82,14.93,50.75,7.65,46.87,24.97,18.5,23.92,7.7,,0.0,0.62,5.9,2025-11-24 04:14:22,2022
"Henry County, Alabama",17282,58395,492790100,30273,75475,16807,2608,11910,1114,4196,1291,422,100,16807,1295,1313,3298,715,6686,1058,6686,62,6686,652,16997,0,16997,772,12561,3269,1758,759,14191,7733,7321,412,16997,0,138,261,655,221,390,0,35,199,666,314,621,1232,255,678,2734,643,17282,12194,4375,96,17282,469,6686,2.54,6686,4351,3386,2159,17282,8303,8979,44.6,132400,,,6686,17,17282,155,6686,270,,13759,1261,01,067,70.56,25.32,0.56,2.71,48.04,51.96,65.08,15.82,0.93,9.75,15.52,0.0,4.54,21.68,9.35,30.77,23.7,7.71,7.81,26.02,20.04,54.49,5.33,51.59,20.59,20.7,23.52,9.16,,0.25,0.9,4.04,2025-11-24 04:14:22,2022
